movie_id,person_id,name,department,job,gender
152760,1315934,Bret Witter,Writing,Novel,0
152760,1461,George Clooney,Writing,Screenplay,2
152760,31511,Grant Heslov,Writing,Screenplay,2
153158,84714,Juan José Campanella,Directing,Director,2
153158,553927,Emilio Kauderer,Writing,Musical,0
153158,84714,Juan José Campanella,Writing,Screenplay,2
153158,93651,Eduardo Sacheri,Writing,Screenplay,0
153158,938781,Axel Kuschevatzky,Writing,Screenplay,0
153397,1134201,Edward Hall,Directing,Director,0
153397,63120,William Boyd,Writing,Screenplay,2
153518,52701,Fergal Reilly,Directing,Director,0
153518,1281387,Clay Kaytis,Directing,Director,0
153518,1011957,John Cohen,Production,Producer,0
153518,1460607,Kevin Webb,Visual Effects,Animation,0
153518,239,Jon Vitti,Writing,Writer,2
153795,40508,James Cox,Directing,Director,2
153795,16831,Holly Wiersma,Production,Producer,1
153795,59233,Scoot McNairy,Production,Producer,2
153795,550112,René Besson,Production,Producer,0
153795,184477,David Cole,Writing,Screenplay,2
156022,20907,Antoine Fuqua,Directing,Director,2
156022,1389601,Deirdre Horgan,Directing,Script Supervisor,1
156022,1419115,Betsy Kuehn,Directing,Script Supervisor,0
156022,1117436,Kat Samick,Production,Associate Producer,0
156022,1392615,Molly Allen,Production,Associate Producer,0
156022,5914,Mary Vernieu,Production,Casting,1
156022,1024910,Lindsay Graham,Production,Casting,1
156022,1419108,Angela Peri,Production,Casting,0
156022,928632,Lance Johnson,Production,Co-Producer,0
156022,6874,Ben Waisbren,Production,Executive Producer,0
156022,21968,Ezra Swerdlow,Production,Executive Producer,2
156022,1124533,David J. Bloomfield,Production,Executive Producer,0
156022,1419120,Mark Fitzgerald,Production,Location Manager,0
156022,29,Steve Tisch,Production,Producer,2
156022,4611,Mace Neufeld,Production,Producer,2
156022,5292,Denzel Washington,Production,Producer,2
156022,22814,Richard Wenk,Production,Producer,2
156022,43922,Michael Sloan,Production,Producer,2
156022,51612,Todd Black,Production,Producer,2
156022,51613,Jason Blumenthal,Production,Producer,2
156022,1398017,Tony Eldridge,Production,Producer,0
